WKT,t50_fid,grp_ascii,grp_name,name_ascii,macronated,name,grp_macron
"POLYGON ((3505586.89178852 5135659.08065723,3505558.77583662 5135673.13869835,3505527.14511792 5135703.59728308,3505490.82964637 5135757.48600807,3505469.74337594 5135818.40339926,3505449.82836112 5135909.7794643,3505449.82844373 5135954.29582926,3505468.57133122 5136009.35595114,3505484.97296402 5136033.95710133,3505500.20220426 5136062.07305094,3505515.43144667 5136091.36019962,3505535.3467267 5136142.90552208,3505558.77678007 5136181.56464817,3505579.86319615 5136199.13679521,3505610.32283749 5136234.28171101,3505629.06564018 5136243.65366886,3505648.98205717 5136261.22581806,3505665.38247909 5136279.96977287,3505689.98368806 5136295.19891524,3505722.78566017 5136294.02645531,3505741.52961287 5136276.45483437,3505763.7871889 5136272.94059584,3505756.7587792 5136264.73981534,3505720.44200984 5136265.91168179,3505692.32722971 5136264.73993488,3505657.18161596 5136242.48181761,3505625.5519712 5136204.99450582,3505595.09233422 5136172.19258816,3505565.80508979 5136135.8764711,3505537.69018574 5136067.93017676,3505511.91649942 5136010.52766978,3505477.94323692 5135962.49657063,3505477.94317605 5135929.69459645,3505487.31510783 5135896.89320488,3505500.20182817 5135859.40551047,3505514.25976932 5135833.63280466,3505524.80293498 5135819.57479616,3505521.2880986 5135798.48811928,3505528.31765614 5135778.57262191,3505540.03202305 5135765.68641031,3505540.03199044 5135748.11392414,3505568.14793581 5135730.54168579,3505577.51989369 5135711.79768315,3505610.32185929 5135707.11162597,3505630.23703283 5135701.25409362,3505647.80862124 5135702.4255601,3505659.5241925 5135691.88219665,3505641.95136713 5135670.79554585,3505610.32176364 5135655.56611652,3505586.89178852 5135659.08065723))",5454332,Chatham Islands,Chatham Islands,Moturangaranga Island,N,Moturangaranga Island,N
"POLYGON ((3506071.62859595 5134506.6686885,3506042.40157812 5134511.69553878,3506020.80941626 5134523.15969484,3505996.65662518 5134544.73722272,3505972.50150456 5134563.87020251,3505917.94139853 5134618.47483587,3505887.4480469 5134645.16879649,3505863.28420959 5134655.30140837,3505784.56493049 5134727.70409758,3505761.7000479 5134754.39069404,3505729.92608404 5134787.41832706,3505698.2288381 5134816.6679129,3505672.79333252 5134843.35646414,3505648.63926873 5134866.15491606,3505619.52942136 5134922.65977568,3505612.60310905 5134966.9925537,3505633.3835185 5134980.84650424,3505656.93590265 5134982.23185945,3505690.57681602 5134976.67407639,3505707.11346156 5134967.7709527,3505717.30992156 5134963.98433675,3505735.05775518 5134962.63557988,3505801.01608711 5134926.81563563,3505874.80130364 5134872.51276638,3505893.81915575 5134854.71809508,3505921.75375561 5134839.47085522,3505947.19730495 5134822.89244604,3505970.08135274 5134817.87175752,3506003.0843174 5134812.73075033,3506034.8046378 5134810.14619351,3506067.89033234 5134807.67143407,3506078.01165394 5134810.10651338,3506103.38389731 5134803.7497713,3506117.43122228 5134796.18120118,3506163.11238098 5134779.69432938,3506178.3605978 5134768.2355851,3506202.50406993 5134736.43526528,3506205.06199443 5134723.76619549,3506215.15588704 5134697.09004771,3506221.55903957 5134674.19517881,3506230.4493356 5134648.85358222,3506243.09236104 5134600.50837172,3506246.9242883 5134576.39370855,3506248.18994959 5134556.05919717,3506243.11377059 5134538.28624554,3506238.0448058 5134528.17993787,3506227.83616984 5134517.96743983,3506201.16346949 5134506.54814828,3506136.43146071 5134501.49762233,3506071.62859595 5134506.6686885))",5454331,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3505417.19868521 5133417.32748264,3505354.70998769 5133446.25777597,3505303.79283387 5133449.72946779,3505255.1904675 5133447.41475984,3505218.15970285 5133450.88642588,3505188.07278434 5133482.13085725,3505172.55167886 5133513.05006183,3505141.78475154 5133552.72028785,3505126.74102345 5133585.12209038,3505131.37007786 5133616.36645728,3505148.47594428 5133632.40208794,3505193.85887635 5133641.82492128,3505244.77613114 5133692.74198682,3505280.6490127 5133751.75847392,3505367.0256874 5133909.11689013,3505384.78953872 5133930.76911516,3505430.19146724 5133951.76301441,3505476.42416429 5133969.62581457,3505509.29433102 5133978.9998462,3505524.54608212 5133972.54269796,3505534.73788512 5133964.97863498,3505541.07514093 5133957.30665423,3505552.47242026 5133950.96381305,3505567.72732857 5133948.39541175,3505586.76269817 5133953.49049742,3505613.43420328 5133967.46788695,3505640.10360365 5133978.88965349,3505657.93567646 5133985.20776543,3505676.97127104 5133990.30255111,3505696.01340465 5134002.95283084,3505720.12007126 5134022.04312112,3505736.67415928 5134036.02877942,3505743.0334373 5134053.80105368,3505755.73974236 5134075.34551319,3505764.66987085 5134094.44880663,3505779.86241694 5134112.2132645,3505798.98870749 5134128.64099111,3505850.49009036 5134154.5562252,3505884.11381869 5134183.97713972,3505910.76390067 5134212.43079294,3505928.52451502 5134227.63714805,3505934.88334076 5134244.18699826,3505937.40235002 5134277.18464269,3505935.60034364 5134326.87803203,3505947.15879116 5134357.34958667,3505964.14802851 5134371.1604193,3505976.8465148 5134382.59338676,3505999.66128843 5134391.46163747,3506020.05999993 5134392.77642359,3506054.33498345 5134398.32875563,3506078.50173142 5134380.46612482,3506084.84302699 5134367.27279841,3506096.23820157 5134358.37343425,3506113.17615227 5134298.50792481,3506104.7706906 5134261.73156927,3506091.37157104 5134218.60040297,3506067.99417896 5134186.07829687,3506055.38509717 5134136.69325901,3506052.23260994 5134088.35880278,3506055.3849256 5134044.22763155,3506069.04443499 5134001.14704,3506084.71380516 5133964.7179645,3506068.21734736 5133926.62207499,3506059.29015109 5133911.40805349,3506050.43967255 5133892.30505989,3506049.1305741 5133865.63958324,3506058.02057013 5133840.29821161,3506069.47878668 5133813.62101127,3506075.80604875 5133795.83746348,3506074.50025729 5133772.94980885,3506069.42174627 5133751.39896017,3506052.9316002 5133719.63629068,3506031.31440685 5133700.65602067,3506017.34146531 5133699.33544763,3505994.44091449 5133702.73516246,3505978.68016774 5133724.80077441,3505973.42603424 5133758.4247578,3505978.68031788 5133805.70831096,3505970.27434784 5133818.31731668,3505953.46232782 5133800.45476188,3505936.65027659 5133765.78022027,3505937.30937739 5133726.07435018,3505918.25612008 5133700.64700548,3505876.3763586 5133649.90662298,3505835.70718292 5133605.49818328,3505816.66256708 5133588.95945659,3505763.23712241 5133555.89508167,3505712.46428061 5133525.49469974,3505657.83335732 5133489.98615398,3505638.78949148 5133473.44682729,3505571.10583386 5133454.35736789,3505516.71823548 5133432.37048609,3505454.22825632 5133417.32741389,3505417.19868521 5133417.32748264))",5454330,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3505023.17685077 5134808.40904741,3505024.47288826 5134829.14982871,3505045.21372738 5134858.96496677,3505071.1397408 5134877.11250438,3505119.10375863 5134906.9275919,3505134.65934405 5134905.63156404,3505139.84453037 5134900.44635849,3505154.10290477 5134892.66793813,3505147.62165931 5134865.44597156,3505106.14004844 5134842.1132669,3505072.4368363 5134821.37254577,3505041.32563416 5134807.11301474,3505023.17685077 5134808.40904741))",5454405,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3526592.59850629 5088394.34558968,3526611.11149517 5088395.50265472,3526631.16707015 5088389.71742191,3526643.50874496 5088380.84655554,3526654.30812657 5088375.06133979,3526661.23803071 5088366.43775822,3526653.15098829 5088353.84865718,3526641.96609487 5088353.07722835,3526621.91052202 5088360.01971033,3526598.76946561 5088374.67579245,3526592.59850629 5088394.34558968))",5454383,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3519871.25963939 5156548.73613101,3519866.85445923 5156557.63788186,3519862.37705922 5156569.3175556,3519857.00235322 5156577.33325894,3519843.66663845 5156590.70584753,3519846.35495437 5156600.5864846,3519856.13121291 5156609.55713444,3519865.0803589 5156611.30829164,3519867.74195837 5156612.18923606,3519872.17085315 5156611.28712868,3519875.70296715 5156606.83235083,3519881.96394742 5156598.81394586,3519882.88814544 5156584.47823078,3519885.52070203 5156575.58180816,3519897.16389298 5156562.10309777,3519897.12944685 5156550.54793219,3519885.50796969 5156544.24945856,3519871.25963939 5156548.73613101))",5454499,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3507598.73605771 5145310.01160387,3507584.50460392 5145315.36100092,3507575.58923261 5145327.03753309,3507575.60027569 5145336.81512526,3507584.53720693 5145344.02702797,3507602.32015262 5145349.34006582,3507613.07372387 5145351.93489386,3507626.1837293 5145360.50706275,3507641.3106266 5145365.54913074,3507653.41230578 5145359.49841319,3507654.92488406 5145348.40531925,3507647.36125836 5145331.26139694,3507642.42526617 5145319.85031518,3507630.83085712 5145309.97494452,3507598.73605771 5145310.01160387))",5454498,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3506871.27256522 5146041.54106519,3506871.27258317 5146051.23915743,3506880.00019776 5146062.87673197,3506902.30577641 5146060.93689224,3506912.00415792 5146055.11807895,3506912.00414536 5146048.32968438,3506901.33613949 5146040.57111033,3506882.91014878 5146037.66174676,3506871.27256522 5146041.54106519))",5454497,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3507503.66398522 5145527.2428062,3507490.48440344 5145531.42587724,3507485.99981511 5145549.31944624,3507495.82362372 5145558.19709597,3507525.19774688 5145569.83050733,3507538.45624057 5145572.11940597,3507545.71346065 5145572.58506718,3507560.13812425 5145572.62366546,3507569.71860823 5145568.08555136,3507569.21458438 5145554.97556277,3507555.57116818 5145540.3522497,3507539.96875727 5145527.74703863,3507519.29516998 5145525.73017849,3507503.66398522 5145527.2428062))",5454496,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3507604.14157072 5145170.72418011,3507597.00010457 5145185.95435616,3507604.08971701 5145195.72383524,3507613.90819262 5145200.26806345,3507627.37105983 5145201.84513729,3507642.49824407 5145199.82821091,3507650.56581994 5145190.24770364,3507650.56578822 5145173.10361733,3507632.91738919 5145166.04465561,3507615.26960228 5145165.54038867,3507604.14157072 5145170.72418011))",5454495,Chatham Islands,Chatham Islands,,N,,N
